graphic card type,resolution (px),CPU cores,RAM size,operating system,drive type,input devices,multimedia,RAM type,CPU clock speed (GHz),CPU model,state,drive memory size (GB),warranty,screen size,buynow_price
dedicated graphics,1920 x 1080,4,32 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1250,producer warranty,"17"" - 17.9""",4999
dedicated graphics,1366 x 768,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.4,intel core i7,new,256,seller warranty,"15"" - 15.9""",2649
,1920 x 1080,2,8 gb,['windows 10 home'],hdd,,['SD card reader'],ddr4,1.6,intel core i7,new,1000,producer warranty,"15"" - 15.9""",3399
,,2,,,,,,,,,new,,producer warranty,,1599
integrated graphics,2560 x 1440,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,1.2,other CPU,new,256,producer warranty,"12"" - 12.9""",4499
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,1000,producer warranty,"15"" - 15.9""",2099
dedicated graphics,1920 x 1080,4,8 gb,"['windows 8.1 home 64-bit', 'other']",hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.4,intel core i7,new,1000,producer warranty,"17"" - 17.9""",2699
dedicated graphics,1920 x 1080,4,8 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,256,producer warranty,"15"" - 15.9""",3199
integrated graphics,1920 x 1080,2,8 gb,['windows 10 professional'],,['touchpad'],['SD card reader'],ddr4,2.5,intel core i5,new,500,producer warranty,"15"" - 15.9""",2749
integrated graphics,1920 x 1080,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,256,producer warranty,"15"" - 15.9""",3199
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1128,producer warranty,"15"" - 15.9""",3849
dedicated graphics,1920 x 1080,2,12 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,1240,producer warranty,"15"" - 15.9""",3199
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.4,intel core i7,new,256,seller warranty,"15"" - 15.9""",2452
dedicated graphics,1366 x 768,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",ddr3,2.6,intel core i5,new,120,producer warranty,"15"" - 15.9""",3353
,,not applicable,,,,,,,,,new,,producer warranty,,5598.9
dedicated graphics,1920 x 1080,4,8 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1256,producer warranty,"15"" - 15.9""",5233
dedicated graphics,1366 x 768,2,4 gb,['windows 7 professional 64-bit'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.9,intel core i3,new,480,producer warranty,"15"" - 15.9""",2549.01
integrated graphics,1920 x 1080,2,8 gb,"['windows 7 professional 64-bit', 'windows 10 professional']",ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.6,intel core i7,new,250,producer warranty,"14"" - 14.9""",4660
integrated graphics,1366 x 768,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,,intel core i5,new,128,producer warranty,"14"" - 14.9""",4390
dedicated graphics,1920 x 1080,4,4 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1128,producer warranty,"15"" - 15.9""",3637
integrated graphics,1920 x 1080,2,12 gb,['no system'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2,intel core i3,new,1000,producer warranty,"15"" - 15.9""",2651
dedicated graphics,1920 x 1080,2,,,ssd,,,,,intel core i3,new,,producer warranty,"15"" - 15.9""",2299
dedicated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.9,intel core i3,new,1000,seller warranty,"15"" - 15.9""",1694
integrated graphics,1366 x 768,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.1,,new,256,producer warranty,"15"" - 15.9""",1949
dedicated graphics,1920 x 1080,4,8 gb,"['windows 10 home', 'other']",ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.5,intel core i7,new,256,producer warranty,"15"" - 15.9""",3489
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.6,intel celeron dual-core,new,240,producer warranty,"15"" - 15.9""",1499
integrated graphics,1920 x 1080,2,4 gb,['no system'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",,,intel core i3,new,1000,producer warranty,"15"" - 15.9""",1909
dedicated graphics,1920 x 1080,4,16 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1256,producer warranty,"15"" - 15.9""",4449
integrated graphics,1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,,intel pentium 4,new,500,producer warranty,"15"" - 15.9""",1549
integrated graphics,1366 x 768,4,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.1,intel celeron quad core ,new,500,producer warranty,"15"" - 15.9""",1679
dedicated graphics,1600 x 900,2,4 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.3,intel core i5,new,240,producer warranty,,2959
,,2,,,,,,,,,new,,producer warranty,,1499
,1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,amd a6,new,1000,producer warranty,"15"" - 15.9""",1595
integrated graphics,,2,4 gb,,ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i5,new,120,producer warranty,"13"" - 13.9""",2619
dedicated graphics,1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,1.6,intel core i5,new,128,producer warranty,"15"" - 15.9""",3199
integrated graphics,1920 x 1080,2,12 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1240,producer warranty,"15"" - 15.9""",3399
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1256,producer warranty,"17"" - 17.9""",4537
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000,producer warranty,"15"" - 15.9""",2999
integrated graphics,1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,256,producer warranty,"13"" - 13.9""",3899
integrated graphics,1366 x 768,2,2 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",,1.6,intel celeron ,new,32,producer warranty,"11.9"" and less",860
dedicated graphics,1920 x 1080,4,8 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,120,producer warranty,"17"" - 17.9""",3779
dedicated graphics,1920 x 1080,4,16 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1250,producer warranty,"15"" - 15.9""",6299
integrated graphics,1366 x 768,2,8 gb,['windows 8.1 home 64-bit'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.24,intel core i7,new,128,producer warranty,"15"" - 15.9""",2499
dedicated graphics,,3,,,ssd + hdd,,,,,intel core i7,new,,producer warranty,"15"" - 15.9""",4599
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,960,producer warranty,"15"" - 15.9""",7988
integrated graphics,1366 x 768,4,4 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.8,amd a6,new,1000,producer warranty,"15"" - 15.9""",1619
integrated graphics,1920 x 1080,4,2 gb,"['windows 10 home', 'other']",emmc,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.6,intel celeron quad core ,new,64,producer warranty,"11.9"" and less",499
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2,intel core i3,new,120,producer warranty,"15"" - 15.9""",2049
dedicated graphics,1920 x 1080,4,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,500,producer warranty,"15"" - 15.9""",7199
dedicated graphics,1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",,,intel core i3,new,,producer warranty,"15"" - 15.9""",2019
dedicated graphics,1920 x 1080,4,32 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,500,producer warranty,"17"" - 17.9""",5499
dedicated graphics,1920 x 1080,2,16 gb,"['windows 8.1 home 32-bit', 'other']",hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.4,intel core i7,new,1000,producer warranty,"17"" - 17.9""",3335
dedicated graphics,1920 x 1080,4,16 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1128,producer warranty,"15"" - 15.9""",4699
integrated graphics,1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,3,,new,1000,producer warranty,"15"" - 15.9""",2226
integrated graphics,1366 x 768,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7,intel core i5,new,128,seller warranty,"15"" - 15.9""",1799
